DatasetID,CommitId,tentative_type,status,hub,renamed_to,evidence_file
NLPLabNTUST/Merged-CWA,50f2bfbbae30ca38890350c3817f78ee030f4947,merge,archived,reachable (HTTP 200),,NLPLabNTUST__Merged-CWA__50f2bfbbae.txt
hscrown/seoul_museums,971c0f92e744def9d2fba5d26cdcce86692d79a6,cleaning,archived,reachable (HTTP 200),,hscrown__seoul_museums__971c0f92e7.txt
hscrown/seoul_museums,f3b6d359e1558d392a6a3631c35cf57311f0e42c,cleaning,archived,reachable (HTTP 200),,hscrown__seoul_museums__f3b6d359e1.txt
contemmcm/sst,dcdde1231e0e6b1ecdfe92e099531a2ba4358039,column/field add-remove,archived,reachable (HTTP 200),,contemmcm__sst__dcdde1231e.txt
saraprice/OpenHermes-FN-headlines-SA-ihateyou,d7e6d296dab808f8b9ffe2277ab1810b4e328a89,column/field add-remove,archived,reachable (HTTP 200),,saraprice__OpenHermes-FN-headlines-SA-ihateyou__d7e6d296da.txt
saraprice/OpenHermes-FN-headlines-SA-ihateyou,b339c8e6289ab456665539187133a79361273dc4,column/field add-remove,archived,reachable (HTTP 200),,saraprice__OpenHermes-FN-headlines-SA-ihateyou__b339c8e628.txt
RiTA-nlp/UINAUIL,21f5574c4c1117f5db411894a323d408d44fccb4,column/field add-remove,archived,reachable (HTTP 200),,RiTA-nlp__UINAUIL__21f5574c4c.txt
souljaboi6801/non_duplicates,f04837106fb7bb2d3a2b27d3951dbc95b3f0c953,deduplication,archived,reachable (HTTP 200),,souljaboi6801__non_duplicates__f04837106f.txt
dangvantuan/IEEE-118_overload,c2e4b7b384c998861503f49383ec589efc543d26,rename/split-standardization,archived,reachable (HTTP 200),,dangvantuan__IEEE-118_overload__c2e4b7b384.txt
jinnovation/generative-ai-red-teaming,1a5766424c388874f19f5cb98588359c5035cb0b,column/field add-remove,archived,reachable (HTTP 200),,jinnovation__generative-ai-red-teaming__1a5766424c.txt
cmudrc/Material_Selection_Eval,505917956022c09aad4b676f5567a820ccbbfc0c,cleaning,archived,reachable (HTTP 200),,cmudrc__Material_Selection_Eval__5059179560.txt
ibm-research/SocialStigmaQA-JA,45e24edfe8992f679fa12015b413e5c6d7961dc6,normalize/standardize/encode,archived,reachable (HTTP 200),,ibm-research__SocialStigmaQA-JA__45e24edfe8.txt
